user,text,tagged_count,valid_tags,valid_post
xiaoninger,"My favourite sport is brisk walk as it keeps me healthy without doing through a vigorous exercise. As I aged, it helps me maintain my weight and strengthen my bones and leg muscles. Unnecessary weight gain could lead to various health problems and regular brisk walk is really effective in helping me attain my health goals. @ruyidianxin @sugarplumteatree @gimlogwe",3,0,False
snowmoonpie,"My favourite sport is cycling as it is not only a form of transport, it gives my body a full workout in a form of low impact exercise. I move from places to places faster while burning calories and improve my health. It is a inexpensive sports that is easy to take up and perform regularly. @blinksher @bluetasta @frestant",3,0,False
chelsiac,wooooo give it to @shanpongggg and I will make sure her HR hit above 90% every session 🤣🤣,1,1,True
tjymax,@leonwongcs haha awww shucks!,1,1,True
viccollection0203,What is your favourite handbag brand? 👜,0,1,False
hl.goh.sg,😍 SWIMMING ! Cos its low impact yet calorie burning ! 😍 Followed page too #fit 😍 @chickenandegg2006,1,1,True
hl.goh.sg,😍 SWIMMING ! Cos its low impact yet calorie burning ! 😍 Followed page too #fit 😍 @skohhg,1,1,True
inrokini,"Favourite sport is barre, I go almost everyday and clock 2 classes each day. The burn is real but it builds lean muscles fast, great for toning and flexibility @jessrebelicious",1,1,True
inrokini,"Favourite sport is barre, I go almost everyday and clock 2 classes each day. The burn is real but it builds lean muscles fast, great for toning and flexibility @jessrebelicious",1,1,True
inrokini,"Favourite sport is barre, I go almost everyday and clock 2 classes each day. The burn is real but it builds lean muscles fast, great for toning and flexibility @jessrebelicious",1,1,True
inrokini,"Favourite sport is barre, I go almost everyday and clock 2 classes each day. The burn is real but it builds lean muscles fast, great for toning and flexibility @jessrebelicious @misssyjc @tishchong @slow2 @absolute_fitness_sg @strongrecipe",6,3,True
inrokini,,,,
inrokini,,,,
jessrebelicious,"I am obsessed with Barre. I go every day, lunch time and after work to give my legs some serious burn to build tone and lean muscles while releasing some stressful steam @inrokini @misssyjc @tishchong @whoopiejelly @miss__ong @he.xianhui @afnisafrianie ❤",7,5,True
jessrebelicious,,,,
jessrebelicious,,,,
jessrebelicious,,,,
jessrebelicious,,,,
starsvera,"Cycling, every ride is a distance that make me goes stronger physically and mentally. @michywitchy",1,1,True
starsvera,"Cycling, every ride is a distance that make me goes stronger physically and mentally. @cottoncandystreaks",1,1,True
is_a_beloved,@aforelephant aerial yoga cause i can fly,1,1,True
is_a_beloved,@geraldinepjp aerial yoga cause i can fly,1,1,True
riannatm,Running!!!!! It’s super rewarding especially when I’m able to hit longer distances or better timings!!! @elina.low @mel2issa @chiammyyy @jaeyoung_____ @nellebeans @marcialjt @eeyorepancake,7,7,True
riannatm,,,,
riannatm,,,,
riannatm,,,,
riannatm,,,,
riannatm,,,,
riannatm,,,,
septrene,Favourite sport gotta be Aqua Tabata cos its HIIT in water which caused less damage to joints and on other hand keeps my heartrate at FAT BURN ZONE for the next 24hrs or so @vicngty,1,1,True
septrene,Favourite sport gotta be Aqua Tabata cos its HIIT in water which caused less damage to joints and on other hand keeps my heartrate at FAT BURN ZONE for the next 24hrs or so @allthekingsfood,1,1,True
syasya101088,"My fitness resolution is to exercise regularly - the power to transform a bad day to a good day; frustration into speed; self-doubt into confidence; chocolate cake into muscle! 🍰➡💪 I can work out with the Fitbit Charge 3, which gives me progress updates during my workout and lets me know when I reach my goal. My favourite sport is cycling. We can play a part to reduce our carbon emissions from transport. I choose to walk for short journeys or cycle to and fro from my home to the nearest MRT station. It’s a good way to exercise too. 🚴🚵🚶@su.knh @waltzrocket @mustuckin @koalamilk08 @adielaridzuan @farahanimrazak @nabillaammara @nuramirah11 @nuramidyna @eslimah #fit",10,8,True
syasya101088,,,,
syasya101088,,,,
syasya101088,,,,
syasya101088,,,,
syasya101088,,,,
syasya101088,,,,
syasya101088,,,,
pixelsforthegram,I ❤ running because I can do it any time and anywhere. The best part id it? It's free! @ngannabel,1,1,True
jasonyippee,test,0,1,False
newufan,"My favourite sport is soccer as it is a game that intelligent movements as a team will help you to win the game, not just pure athleticism. However, a minimum level of athleticism is still essential and this Black Fitbit Charge 3 will help me to maintain it! Tagging my #fit friends @tsong.07 ,@oym11 , @mistletoe21 and @d3ric.lim , who might want to own this too! #fitspiration #UnboreMeFUNAN #FunanSG #CreativeIntersection #Fitbit",4,4,True
newufan,,,,
newufan,,,,
newufan,,,,
newshahrim,Paddle Board builds your core and takes you one with nature! @skohhg,1,1,True
newshahrim,Paddle Board builds your core and takes you one with nature! @_zylaafelishazlynn,1,1,True
rahama_tunnisa,Wake Board at West Coast Park.Great cable ski! @dzulmp59.dmn,1,0,False
rahama_tunnisa,Wake Board at West Coast Park.Great cable ski! @tan.esther318,1,1,True
rahama_tunnisa,Wake Board at West Coast Park.Great cable ski! @raziya_sultana,1,0,False
fathimaimraanah,Rope Jump an underrated exercise activity! @farhana_syed,1,1,True
fathimaimraanah,Rope Jump an underrated exercise activity! @nura_21_,1,1,True
fathimaimraanah,Rope Jump an underrated exercise activity! @afiqah_mahalim,1,1,True
fathimaifraanah,Rock climbing!@youpieceofshait,1,1,True
fathimaifraanah,Rock climbing! @rahama_tunnisa,1,1,True
fathimaifraanah,Rock climbing! @newshahrim,1,1,True
fathimaifraanah,Rock climbing! @fathimaimraanah,1,1,True
jackchia400,"Favorite sport is Spartan Race, its the ultimate test of endurance, strength and perserverance. Aroo! Aroo! Aroo! @allyciaheng @bry_wong @chaowalitjockygym @alina_samanthatoh @thewinningroots @vanessaa_tan @halfphaze @blackbathat @kkkkkkoichiiiiii51 @adelineandthecait",10,9,True
jackchia400,,,,
jackchia400,,,,
jackchia400,,,,
jackchia400,,,,
jackchia400,,,,
jackchia400,,,,
jackchia400,,,,
jackchia400,,,,
flabbbycheeks,Netball! it was my cca in sec sch and holds alot of bittersweet memories @chjasontan @sgsoleshields @clichebuttrue2,3,2,True
flabbbycheeks,,,,
jasonyippee,@asdasfasdfasdfsdf,1,0,False
